competitor_name,domain,campus_id,campus,state,course_code,competitor_type,model_cluster,intro_accounting_supported,campus_specific,course_specific_site,professor_specific,sponsored,pricing_model,price,free_trial,free_content,practice_exams,exam_reviews,video_content,live_reviews,one_on_one,study_guides,subscription,other_offerings,query_families,source_url,retrieved_at,confidence
StudySoup,studysoup.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,course_exam_review; course_practice_exam,https://studysoup.com/guide/2492916/a,2026-08-25T18:43:41.665Z,high
learningedgetutoring.org,learningedgetutoring.org,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,INDIVIDUAL_OR_LOCAL,OTHER,LIKELY,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,paid_tutoring,https://learningedgetutoring.org/student-spotlight-deneszria/,2026-08-25T18:43:41.665Z,low
Gleim,gleim.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,EXAM_PREP_PLATFORM,NATIONAL_PLATFORM,YES,UNKNOWN,NO,YES,NO,unknown,,Free Trial and Free CPA Study Materials are available.,YES,YES,YES,YES,,,YES,,,school_exam_prep,https://www.gleim.com/cpa-review/blog/page/12/?post=574&srsltid=AfmBOoogjmECMJzEo4999VvPf9ek9PXQnJbgimaDxHrLIBtZGMS-Ly44,2026-08-25T18:43:41.665Z,medium
Studocu,studocu.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,YES,UNKNOWN,NO,,,,,,,,,,YES,,,course_practice_exam,https://www.studocu.com/en-us/document/university-of-alabama/intro-to-accounting/ac210-exam-3-study-guide1/83635462,2026-08-25T18:43:41.665Z,high
Skoolers Tutoring,skoolerstutoring.com,b3af67c6-99a5-4677-83d5-aa7d11a89c17,University of Alabama,AL,AC 210,MULTI_CAMPUS_TUTORING,MULTI_CAMPUS_REGIONAL,YES,YES,YES,UNKNOWN,NO,one-time,$75 per hour; $75 per three hours,,,,,,,YES,,,,ad_probe_course_tutoring,https://www.skoolerstutoring.com/courses/UA/AC210,2026-08-25T18:43:41.665Z,high
acct2101uga.com,acct2101uga.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,COURSE_SPECIFIC_SITE,STUDY_EDGE_MODEL,YES,YES,YES,UNKNOWN,NO,unknown,,The first video of Topic 1: The Accounting Equation is playable on the page.,,YES,,YES,,,,,,school_acct_tutoring; school_exam_review; course_tutoring; fin_acct_tutoring; school_study_guide; course_exam_review; paid_tutoring; school_exam_prep; school_review_videos; school_practice_exam; course_practice_exam; ad_probe_course_acct; ad_probe_course_tutoring,https://acct2101uga.com/,2026-08-25T18:43:41.666Z,high
FrogTutoring,frogtutoring.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,MULTI_CAMPUS_TUTORING,MULTI_CAMPUS_REGIONAL,YES,YES,NO,YES,NO,unknown,,Get a FREE Consultation,,,,,,YES,,,,school_acct_tutoring; fin_acct_tutoring,https://frogtutoring.com/tutors/university-of-georgia/finance,2026-08-25T18:43:41.666Z,high
Varsity Tutors,varsitytutors.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_acct_tutoring; paid_tutoring,https://www.varsitytutors.com/t/georgia/atlanta/accounting,2026-08-25T18:43:41.666Z,high
Superprof,superprof.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_acct_tutoring; fin_acct_tutoring; paid_tutoring,https://www.superprof.com/lessons/accounting/smyrna/,2026-08-25T18:43:41.666Z,high
Quizlet,quizlet.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,YES,,,,,YES,,,school_exam_review; school_study_guide; course_exam_review; school_exam_prep; school_practice_exam; course_practice_exam,https://quizlet.com/714724195/uga-accounting-entrance-exam-flash-cards/,2026-08-25T18:43:41.666Z,high
Wize Prep,wizeprep.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,MULTI_CAMPUS_TUTORING,MULTI_CAMPUS_REGIONAL,YES,YES,NO,UNKNOWN,NO,subscription,,Start Free Trial,YES,YES,YES,YES,,YES,,,,school_exam_review; school_practice_exam,https://www.wizeprep.com/blog/online-exam-prep-for-university-of-georgia-students,2026-08-25T18:43:41.666Z,high
Course Hero,coursehero.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,YES,UNKNOWN,NO,,,,,,YES,,,,,,,school_exam_review; course_exam_review; course_practice_exam,https://www.coursehero.com/sitemap/schools/642-University-Of-Georgia/courses/6730205-ACCT1160/,2026-08-25T18:43:41.666Z,high
Scribd,scribd.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,course_tutoring,https://www.scribd.com/doc/106919401/Tutoring-flyer-for-Business-Students,2026-08-25T18:43:41.666Z,medium
UniversityTutor,universitytutor.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,YES,,,,fin_acct_tutoring,https://athensga.universitytutor.com/tutors/554788,2026-08-25T18:43:41.666Z,medium
StudySoup,studysoup.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide,https://studysoup.com/class/320599/acct-2102-principles-of-accounting-ii-university-of-georgia-acct,2026-08-25T18:43:41.666Z,high
CliffsNotes,cliffsnotes.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide; course_practice_exam,https://www.cliffsnotes.com/study-notes/19687248,2026-08-25T18:43:41.666Z,high
Studocu,studocu.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,course_exam_review; school_exam_prep; school_practice_exam; course_practice_exam,https://www.studocu.com/en-us/document/university-of-north-carolina-at-pembroke/foundations-of-financial-and-managerial-accounting/test-review-exam-1-accoutning/7352063,2026-08-25T18:43:41.666Z,high
Skoolers Tutoring,skoolerstutoring.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,MULTI_CAMPUS_TUTORING,MULTI_CAMPUS_REGIONAL,YES,YES,YES,UNKNOWN,NO,one-time,$75 per hour; $75 per three hours,,,,,,,YES,,,,ad_probe_course_tutoring,https://www.skoolerstutoring.com/courses/UGA/ACCT2101,2026-08-25T18:43:41.666Z,high
acct2001.com,acct2001.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,COURSE_SPECIFIC_SITE,STUDY_EDGE_MODEL,YES,YES,YES,UNKNOWN,NO,subscription,,First video of Chapter 1 is free.,,YES,,YES,,,,,,ad_probe_course_tutoring,https://acct2001.com/,2026-08-25T18:43:41.666Z,high
Wyzant,wyzant.com,3f570e37-5394-4058-baab-508948befedb,University of Georgia,GA,ACCT 2101,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,ad_probe_course_tutoring,https://www.wyzant.com/Tampa_FL_accounting_tutors.aspx,2026-08-25T18:43:41.666Z,medium
Superprof,superprof.ng,9220ee33-22b4-46b6-9ca5-86528da2ec47,CUNY-Baruch College New,NY,,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,LIKELY,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_acct_tutoring; school_exam_review; fin_acct_tutoring; school_practice_exam,https://www.superprof.ng/graduate-student-for-masters-finance-cuny-baruch-college-undergrad-business-accounting-and-finance-leading-example.html,2026-08-25T18:43:41.673Z,high
UniversityTutor,universitytutor.com,9220ee33-22b4-46b6-9ca5-86528da2ec47,CUNY-Baruch College New,NY,,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,school_acct_tutoring; fin_acct_tutoring,https://saddlebrook.universitytutor.com/saddlebrook_japanese-tutoring/8,2026-08-25T18:43:41.673Z,medium
bestvalueschools.com,bestvalueschools.com,9220ee33-22b4-46b6-9ca5-86528da2ec47,CUNY-Baruch College New,NY,,INDIVIDUAL_OR_LOCAL,OTHER,LIKELY,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,paid_tutoring,https://www.bestvalueschools.com/rankings/best-bachelors-degrees-in-economics/,2026-08-25T18:43:41.673Z,low
emerald.com,emerald.com,9220ee33-22b4-46b6-9ca5-86528da2ec47,CUNY-Baruch College New,NY,,INDIVIDUAL_OR_LOCAL,OTHER,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,school_exam_prep; school_practice_exam,https://www.emerald.com/cfri/article/8/4/399/37806/Comparing-the-financial-reporting-quality-of,2026-08-25T18:43:41.673Z,low
arxiv.org,arxiv.org,9220ee33-22b4-46b6-9ca5-86528da2ec47,CUNY-Baruch College New,NY,,INDIVIDUAL_OR_LOCAL,OTHER,LIKELY,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,school_practice_exam,https://arxiv.org/html/2508.13174v2,2026-08-25T18:43:41.673Z,low
FrogTutoring,frogtutoring.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,MULTI_CAMPUS_TUTORING,MULTI_CAMPUS_REGIONAL,YES,YES,NO,YES,NO,unknown,,Get a FREE Consultation,,,,,,YES,,,,school_acct_tutoring; fin_acct_tutoring,https://frogtutoring.com/tutors/university-of-tennessee--martin/accounting,2026-08-25T18:43:41.673Z,high
utdailybeacon.com,utdailybeacon.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,INDIVIDUAL_OR_LOCAL,OTHER,LIKELY,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,school_acct_tutoring,https://utdailybeacon.com/117136/news/tutoring-programs-want-student-involvement/,2026-08-25T18:43:41.673Z,low
Quizlet,quizlet.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,school_exam_review; school_study_guide; school_practice_exam,https://quizlet.com/877836058/accounting-203-utk-final-exam-flash-cards/,2026-08-25T18:43:41.673Z,medium
Studocu,studocu.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,YES,,,,YES,,,school_exam_review; school_study_guide,https://www.studocu.com/en-us/document/the-university-of-tennessee-knoxville/introduction-to-financial-and-managerial-accounting/acct-101-exam-review-topics-and-format-breakdown/139193373,2026-08-25T18:43:41.673Z,high
Course Hero,coursehero.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,YES,UNKNOWN,NO,,,,,,,,,,YES,,,school_exam_review; school_study_guide; school_exam_prep; school_practice_exam,https://www.coursehero.com/sitemap/schools/2200-The-University-of-Tennessee-Knoxville/courses/4302580-ACCT203/,2026-08-25T18:43:41.673Z,high
Wyzant,wyzant.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,fin_acct_tutoring,https://www.wyzant.com/Tutors/TN/Knoxville/10343569/,2026-08-25T18:43:41.673Z,medium
abebooks.com,abebooks.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,INDIVIDUAL_OR_LOCAL,OTHER,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide,https://www.abebooks.com/9780324664270/Study-Guide-Chapters-1-17-WarrenReeveDuchac%E2%80%99s-0324664273/plp,2026-08-25T18:43:41.673Z,low
StudySoup,studysoup.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide,https://studysoup.com/subject/25/accounting,2026-08-25T18:43:41.673Z,medium
CliffsNotes,cliffsnotes.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide,https://www.cliffsnotes.com/study-notes/23974572,2026-08-25T18:43:41.673Z,medium
TutorSelect,tutorselect.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,paid_tutoring,https://www.tutorselect.com/find/gallatin_tn/high-school/accounting/tutors,2026-08-25T18:43:41.673Z,medium
poetsandquantsforundergrads.com,poetsandquantsforundergrads.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,INDIVIDUAL_OR_LOCAL,OTHER,LIKELY,UNKNOWN,NO,UNKNOWN,NO,unknown,,,,,,,,,,,,paid_tutoring,https://poetsandquantsforundergrads.com/students/100-best-brightest-undergraduate-business-majors-of-2025/2/,2026-08-25T18:43:41.673Z,low
Stuvia,stuvia.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,YES,,,,,YES,,,school_exam_prep,https://www.stuvia.com/doc/10912428/utk-acct-203-exam-1-pdf-accounting-study-guide-en-practice-test,2026-08-25T18:43:41.673Z,medium
The Princeton Review,princetonreview.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,LIKELY,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_review_videos,https://www.princetonreview.com/college/university-tennessee--knoxville-1022798,2026-08-25T18:43:41.673Z,high
tscpa.com,tscpa.com,9fe12d29-01ee-4c7a-965c-dee6767e4409,University of Tennessee,TN,,LOCAL_CAMPUS_TUTORING,LOCAL_REVIEW_CENTER,YES,YES,NO,UNKNOWN,NO,unknown,,Career profile videos,,,,,,,,,,school_practice_exam,https://tscpa.com/discover-careers/,2026-08-25T18:43:41.673Z,medium
Wyzant,wyzant.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_acct_tutoring; fin_acct_tutoring,https://www.wyzant.com/Tutors/TN/Knoxville/10343569/,2026-08-25T18:43:41.677Z,high
poetsandquantsforundergrads.com,poetsandquantsforundergrads.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,LOCAL_CAMPUS_TUTORING,LOCAL_REVIEW_CENTER,YES,YES,NO,UNKNOWN,NO,unknown,,,,,,,,,,,,school_acct_tutoring,https://poetsandquantsforundergrads.com/news/2024-best-undergraduate-professors-amelia-hart-university-of-tennessee-knoxville-haslam-college-of-business/,2026-08-25T18:43:41.677Z,medium
Quizlet,quizlet.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,YES,YES,,,,YES,,,school_exam_review; school_study_guide; course_exam_review; school_exam_prep; school_practice_exam; course_practice_exam,https://quizlet.com/schools/the-university-of-tennessee-knoxville/3091199/courses/acct-311-intermediate-financial-accounting-1/11995856,2026-08-25T18:43:41.677Z,high
Course Hero,coursehero.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,YES,UNKNOWN,NO,,,,,,YES,,,,,,,school_exam_review; school_study_guide; course_exam_review; school_exam_prep; school_review_videos; school_practice_exam; course_practice_exam,https://www.coursehero.com/sitemap/schools/2200-The-University-of-Tennessee-Knoxville/courses/335048-ACCT200/,2026-08-25T18:43:41.677Z,high
knoxtech.org,knoxtech.org,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,LOCAL_CAMPUS_TUTORING,LOCAL_REVIEW_CENTER,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_exam_review,https://jobs.knoxtech.org/companies/university-of-tennessee-college/jobs/90720089-accounting-manager-social-work-research-public-service-utk,2026-08-25T18:43:41.677Z,medium
Studocu,studocu.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,YES,YES,,,,YES,,,school_exam_review; school_study_guide; course_exam_review; school_exam_prep; school_practice_exam; course_practice_exam,https://www.studocu.com/en-us/document/the-university-of-tennessee-knoxville/foundations-of-accounting/exam-1-review-sheet-fall-2021/22037050,2026-08-25T18:43:41.677Z,high
acct200ku.com,acct200ku.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,COURSE_SPECIFIC_SITE,STUDY_EDGE_MODEL,YES,YES,YES,UNKNOWN,NO,unknown,,First video of Topic 1 is free to view.,,YES,,YES,,,,,,course_tutoring; course_practice_exam; ad_probe_course_acct; ad_probe_course_tutoring,https://acct200ku.com/,2026-08-25T18:43:41.677Z,high
StudySoup,studysoup.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,,,,,YES,,,school_study_guide,https://studysoup.com/class/343505/acct-201-foundations-of-accounting-university-of-tennessee-knoxville-acct,2026-08-25T18:43:41.677Z,high
Stuvia,stuvia.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,YES,YES,,,,YES,,,school_study_guide; school_exam_prep; course_practice_exam,https://www.stuvia.com/doc/10912428/utk-acct-203-exam-1-pdf-accounting-study-guide-en-practice-test,2026-08-25T18:43:41.677Z,high
CliffsNotes,cliffsnotes.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,YES,,,,,,,course_exam_review; course_practice_exam,https://www.cliffsnotes.com/study-notes/22727836,2026-08-25T18:43:41.677Z,high
GradeBuddy,gradebuddy.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,YES,NO,UNKNOWN,NO,,,,,,YES,,,,,,,course_exam_review,https://gradebuddy.com/doc/3426857/final-exam-review/,2026-08-25T18:43:41.677Z,high
Scribd,scribd.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,NOTES_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,YES,,,,,,,course_exam_review; course_practice_exam,https://www.scribd.com/document/81223080/Acct-200-Chapter-1-Test,2026-08-25T18:43:41.677Z,medium
jobgether.com,jobgether.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,INDIVIDUAL_OR_LOCAL,OTHER,LIKELY,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,paid_tutoring,https://jobgether.com/offer/6a88d19f1de6f4542a4ddbcc-online-a-level-tutor---part-time,2026-08-25T18:43:41.677Z,low
The Princeton Review,princetonreview.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,LIKELY,YES,NO,UNKNOWN,NO,,,,,,,,,,,,,school_review_videos,https://www.princetonreview.com/college/university-tennessee--knoxville-1022798,2026-08-25T18:43:41.677Z,high
intuit.com,intuit.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,INDIVIDUAL_OR_LOCAL,OTHER,YES,UNKNOWN,NO,UNKNOWN,YES,,,,,,,,,,,,,ad_probe_course_acct(ad),https://www.intuit.com/solutions/education/resources/quickbooks/,2026-08-25T18:43:41.677Z,low
graduatetutor.com,graduatetutor.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,INDIVIDUAL_OR_LOCAL,OTHER,YES,UNKNOWN,NO,YES,NO,unknown,,,,,,,YES,YES,,,,ad_probe_course_tutoring,https://www.graduatetutor.com/accounting-tutor/,2026-08-25T18:43:41.677Z,low
Superprof,superprof.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,TUTOR_MARKETPLACE,NATIONAL_PLATFORM,YES,UNKNOWN,NO,UNKNOWN,NO,,,,,,,,,,,,,ad_probe_course_tutoring,https://www.superprof.com/lessons/accounting/kansas-city/,2026-08-25T18:43:41.677Z,medium
acct2001.com,acct2001.com,9c4775be-7d82-4a3e-840c-349c5e15d8e8,"University of Tennessee, Knoxville",TN,ACCT 200,COURSE_SPECIFIC_SITE,COURSE_SPECIFIC_TUTORING_PLATFORM,YES,YES,YES,UNKNOWN,NO,subscription,,First video of Chapter 1 is free.,,,,YES,,,,,,ad_probe_course_tutoring,https://acct2001.com/,2026-08-25T18:43:41.677Z,high
