Campus,Campus ID,Slug,SEC,Course Code,Course Title,Course Status,Total Survive Chapters,Expected Chapters,Chapter Coverage %,IFC Count,Panhellenic Count,NPHC Count,Other Council Count,Missing Council Count,Orphan Chapter Count,Duplicate Count,Hidden By Filter Count,Route Issues,Colors Present,Partial Import Evidence,Completeness Score,Priority,Recommended Action
Colorado State,90f8fda4-8901-441f-8c0d-3b1d69c60e63,colorado-state-university,no,ACT 210,,NEEDS_RESEARCH,9,NEEDS_RESEARCH,NEEDS_RESEARCH,5,2,0,2,0,0,0,0,0,yes,Panhellenic under-imported (IFC 5 vs PH 2); roster very thin (9),30,RED,Re-import roster — Panhellenic under-imported (IFC 5 vs PH 2); roster very thin (9)
Delaware,134547c6-fcf2-4a0f-9c0c-6612fb4408dc,university-of-delaware,no,ACCT 207,Accounting I,AMBIGUOUS,53,NEEDS_RESEARCH,NEEDS_RESEARCH,25,13,9,6,0,0,0,0,0,yes,,82,GREEN,Confirm intro_1 is the FIRST financial course (generic title)
Florida,4c5126b1-3fe0-48fe-a1db-1e41d06e4642,university-of-florida,yes,ACG 2021,Introduction to Financial Accounting,VERIFIED_INTERNAL,64,NEEDS_RESEARCH,NEEDS_RESEARCH,27,19,8,10,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Florida State,63662ceb-5770-4dad-8c3f-0021f3924b98,florida-state-university,no,ACG 2021,Introduction to Financial Accounting,VERIFIED_INTERNAL,30,NEEDS_RESEARCH,NEEDS_RESEARCH,22,1,7,0,0,0,0,0,0,yes,Panhellenic under-imported (IFC 22 vs PH 1),73,YELLOW,Re-import roster — Panhellenic under-imported (IFC 22 vs PH 1)
Georgia,3f570e37-5394-4058-baab-508948befedb,university-of-georgia,yes,ACCT 2101,Principles of Accounting I,AMBIGUOUS,68,NEEDS_RESEARCH,NEEDS_RESEARCH,29,20,8,11,0,0,1,0,1,yes,,77,YELLOW,Confirm intro_1 is the FIRST financial course (generic title)
Georgia Tech,497c0c67-8e6a-4d5c-a1f2-2e7b78bce77f,georgia-institute-of-technology,no,ACCT 2101,,NEEDS_RESEARCH,15,NEEDS_RESEARCH,NEEDS_RESEARCH,3,8,1,3,0,0,0,0,0,yes,,64,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Houston,9aad4852-d3b1-4091-8157-acf427d8c88a,university-of-houston,no,ACCT 2301,Principles of Financial Accounting,VERIFIED_INTERNAL,9,NEEDS_RESEARCH,NEEDS_RESEARCH,1,0,8,0,0,0,0,0,0,yes,"NPHC-only import (NPHC 8, IFC 1, PH 0); roster very thin (9)",52,YELLOW,"Re-import roster — NPHC-only import (NPHC 8, IFC 1, PH 0); roster very thin (9)"
Illinois,f56a0047-8688-48a1-b671-22ebcf12eb28,university-of-illinois-urbana-champaign,no,ACCY 201,,NEEDS_RESEARCH,13,NEEDS_RESEARCH,NEEDS_RESEARCH,7,6,0,0,0,0,0,0,0,yes,roster very thin (13),33,RED,Re-import roster — roster very thin (13)
Indiana,feab5578-893a-48c1-88c4-f4dc7616ac79,indiana-university-bloomington,no,BUS-A 201,Introduction to Financial Accounting,VERIFIED_INTERNAL,32,NEEDS_RESEARCH,NEEDS_RESEARCH,11,21,0,0,0,0,0,0,0,yes,,87,GREEN,Ready — verify chapter roster externally when convenient
Iowa,39e11bf9-6201-41d5-8c50-489b8259032a,university-of-iowa,no,ACCT:2100,Introduction to Financial Accounting,VERIFIED_INTERNAL,27,NEEDS_RESEARCH,NEEDS_RESEARCH,12,13,0,2,0,0,0,0,0,yes,,89,GREEN,Ready — verify chapter roster externally when convenient
Iowa State,4782ef17-0a49-4e4b-8856-40e748fe6004,iowa-state-university,no,ACCT 2840,,NEEDS_RESEARCH,10,NEEDS_RESEARCH,NEEDS_RESEARCH,2,1,7,0,0,0,0,0,0,yes,"NPHC-only import (NPHC 7, IFC 2, PH 1); roster very thin (10)",37,RED,"Re-import roster — NPHC-only import (NPHC 7, IFC 2, PH 1); roster very thin (10)"
James Madison,7d89723d-6d46-46c6-a059-e5875ff118a7,james-madison-university,no,COB 241,,NEEDS_RESEARCH,46,NEEDS_RESEARCH,NEEDS_RESEARCH,21,12,8,5,0,0,0,0,0,yes,,78,GREEN,"Confirm intro_1 course title from catalog (code present, title blank)"
Kansas,da89805a-e508-4bda-948c-e546dc78b110,university-of-kansas,no,ACCT 200,,NEEDS_RESEARCH,39,NEEDS_RESEARCH,NEEDS_RESEARCH,17,9,8,5,0,0,0,0,0,yes,,78,GREEN,"Confirm intro_1 course title from catalog (code present, title blank)"
Kansas State,4dde3052-393d-4161-98da-23dde61901dd,kansas-state-university,no,ACCTG 241,Introduction to Financial Accounting,VERIFIED_INTERNAL,14,NEEDS_RESEARCH,NEEDS_RESEARCH,11,3,0,0,0,0,0,0,0,yes,roster very thin (14),56,YELLOW,Re-import roster — roster very thin (14)
Kentucky,ae339230-577e-4569-a7d1-d1e45d1cfe91,university-of-kentucky,yes,ACC 201,Financial Accounting I,VERIFIED_INTERNAL,58,NEEDS_RESEARCH,NEEDS_RESEARCH,25,17,9,7,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Louisville,abad6121-4309-4f35-a13c-beba333d56dc,university-of-louisville,no,ACCT 201,Principles of Financial Accounting,VERIFIED_INTERNAL,18,NEEDS_RESEARCH,NEEDS_RESEARCH,1,8,9,0,0,0,0,0,0,yes,IFC under-imported (PH 8 vs IFC 1),65,YELLOW,Re-import roster — IFC under-imported (PH 8 vs IFC 1)
LSU,698dd98f-dd92-46c1-8f28-e930568cb15d,louisiana-state-university,yes,ACCT 2001,Introductory Financial Accounting,VERIFIED_INTERNAL,46,NEEDS_RESEARCH,NEEDS_RESEARCH,20,13,9,4,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Maryland,b2c34d1b-f623-4206-99e3-287f52e82fcd,university-of-maryland,no,BMGT 220,,NEEDS_RESEARCH,48,NEEDS_RESEARCH,NEEDS_RESEARCH,16,16,5,11,0,0,0,0,0,yes,,78,GREEN,"Confirm intro_1 course title from catalog (code present, title blank)"
Miami,c2dbd5ac-8dbd-4488-92da-546c361fd88e,university-of-miami,no,ACC 211,Principles of Financial Accounting,VERIFIED_INTERNAL,14,NEEDS_RESEARCH,NEEDS_RESEARCH,2,3,8,1,0,0,0,0,0,yes,roster very thin (14),67,YELLOW,Re-import roster — roster very thin (14)
Miami (OH),cc8d19b7-6f88-4162-af9b-629c9c9b91c0,miami-university-ohio,no,ACC 221,Intro. to Financial Accounting,VERIFIED_INTERNAL,19,NEEDS_RESEARCH,NEEDS_RESEARCH,4,8,7,0,0,0,0,0,0,yes,,84,GREEN,Ready — verify chapter roster externally when convenient
Michigan State,efe5a52b-cca0-43c5-b655-7e2d758945d8,michigan-state-university,no,ACC 201,,NEEDS_RESEARCH,14,NEEDS_RESEARCH,NEEDS_RESEARCH,12,1,0,1,0,0,0,0,0,yes,Panhellenic under-imported (IFC 12 vs PH 1); roster very thin (14),40,RED,Re-import roster — Panhellenic under-imported (IFC 12 vs PH 1); roster very thin (14)
Minnesota,6a03001e-d222-4c4e-9437-1cab7241feaa,university-of-minnesota,no,ACCT 2051,Introduction to Financial Reporting,VERIFIED_INTERNAL,12,NEEDS_RESEARCH,NEEDS_RESEARCH,3,1,7,1,0,0,0,0,0,yes,roster very thin (12),66,YELLOW,Re-import roster — roster very thin (12)
Mississippi State,95246fc8-1ce6-409e-b454-d03c82766719,mississippi-state-university,yes,ACC 2013,Principles of Financial Accounting,VERIFIED_INTERNAL,43,NEEDS_RESEARCH,NEEDS_RESEARCH,20,10,9,4,0,0,0,0,0,yes,,100,GREEN,Ready — verify chapter roster externally when convenient
Mizzou,f16686c2-edc6-43f8-9638-6890f52c829a,university-of-missouri,yes,ACCTCY 2026,Introduction to Financial Accounting,VERIFIED_INTERNAL,63,NEEDS_RESEARCH,NEEDS_RESEARCH,29,18,9,7,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
NC State,26fec746-f7a8-48d0-8ac6-3bda7c78d82f,north-carolina-state-university,no,ACC 210,Concepts of Financial Reporting,VERIFIED_INTERNAL,34,NEEDS_RESEARCH,NEEDS_RESEARCH,16,9,0,9,0,0,0,0,0,yes,,94,GREEN,Ready — verify chapter roster externally when convenient
Nebraska,2e0aaa41-7bd2-453d-9a9d-32c53074cc9c,university-of-nebraska-lincoln,no,ACCT 201,,NEEDS_RESEARCH,28,NEEDS_RESEARCH,NEEDS_RESEARCH,12,1,5,10,0,0,0,0,0,yes,Panhellenic under-imported (IFC 12 vs PH 1),55,RED,Re-import roster — Panhellenic under-imported (IFC 12 vs PH 1)
North Carolina,ffef200f-6667-455f-a599-08987f16e7fa,university-of-north-carolina-at-chapel-hill,no,BUSI 407,,NEEDS_RESEARCH,33,NEEDS_RESEARCH,NEEDS_RESEARCH,24,9,0,0,0,0,0,0,0,yes,,66,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Northwestern,d0190710-b330-4159-9927-65a9c37409eb,northwestern-university,no,ACCOUNT 201,Introduction to Financial Accounting,VERIFIED_INTERNAL,26,NEEDS_RESEARCH,NEEDS_RESEARCH,1,8,8,9,0,0,0,0,0,yes,IFC under-imported (PH 8 vs IFC 1),76,YELLOW,Re-import roster — IFC under-imported (PH 8 vs IFC 1)
Ohio State,1e6b6504-3a9c-44e2-81a9-ee961f66563a,ohio-state-university,no,ACCTMIS 2200,,NEEDS_RESEARCH,45,NEEDS_RESEARCH,NEEDS_RESEARCH,19,10,5,11,0,0,0,0,0,yes,,78,GREEN,"Confirm intro_1 course title from catalog (code present, title blank)"
Oklahoma,91e62f9c-43b0-41f3-a84d-002824754da6,university-of-oklahoma,yes,ACCT 2113,Financial Accounting,VERIFIED_INTERNAL,49,NEEDS_RESEARCH,NEEDS_RESEARCH,19,13,9,8,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Oklahoma State,d8ed77fe-4aac-444b-9815-261642ee1052,oklahoma-state-university,no,ACCT 2103,Financial Accounting,VERIFIED_INTERNAL,31,NEEDS_RESEARCH,NEEDS_RESEARCH,19,12,0,0,0,0,0,0,0,yes,,86,GREEN,Ready — verify chapter roster externally when convenient
Ole Miss,7b92a320-b196-43f2-a241-77a0805816fe,university-of-mississippi,yes,ACCY 201,Introduction to Financial Accounting,VERIFIED_INTERNAL,38,37,100,17,12,9,0,0,0,10,0,1,yes,,80,YELLOW,Merge duplicate national-org rows
Oregon,62187d7a-6154-4167-9c3d-04fecdc57354,university-of-oregon,no,BA 211Z,,NEEDS_RESEARCH,17,NEEDS_RESEARCH,NEEDS_RESEARCH,9,3,3,2,0,0,0,0,0,yes,,65,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Oregon State,0f207a42-7b5b-46f3-8d9b-7b753a0451fe,oregon-state-university,no,BA 211Z,Financial Accounting,VERIFIED_INTERNAL,47,NEEDS_RESEARCH,NEEDS_RESEARCH,21,11,6,9,0,0,0,0,0,yes,,100,GREEN,Ready — verify chapter roster externally when convenient
Penn State,afb9cd13-7cd5-48fb-8416-e358d02bc2ae,pennsylvania-state-university,no,ACCTG 211,Financial and Managerial Accounting for Decision Making,SUSPICIOUS,20,NEEDS_RESEARCH,NEEDS_RESEARCH,16,3,1,0,0,0,0,0,0,yes,,44,RED,Verify intro_1 against catalog — title looks like a combined/second course
Pittsburgh,2668a8b5-52c6-4a41-b2df-a83f29330d3b,university-of-pittsburgh,no,BUSACC 0030,,NEEDS_RESEARCH,25,NEEDS_RESEARCH,NEEDS_RESEARCH,14,4,7,0,0,0,0,0,0,yes,,66,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Purdue,0da1dbed-01e6-4e98-a023-38bf102e8853,purdue-university,no,ACCT 20000,,NEEDS_RESEARCH,24,NEEDS_RESEARCH,NEEDS_RESEARCH,6,16,1,1,0,0,0,0,0,yes,,70,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Rutgers,f2bb9523-3512-405c-bcc1-ee2ae517f08c,rutgers-university,no,33:010:272,,NEEDS_RESEARCH,18,NEEDS_RESEARCH,NEEDS_RESEARCH,10,0,8,0,0,0,0,0,0,yes,Panhellenic under-imported (IFC 10 vs PH 0),37,RED,Re-import roster — Panhellenic under-imported (IFC 10 vs PH 0)
San Diego State,7325256b-319c-4948-b5a0-5f2016f38dca,san-diego-state-university,no,ACCTG 201,Financial Accounting Fundamentals,VERIFIED_INTERNAL,26,NEEDS_RESEARCH,NEEDS_RESEARCH,13,1,4,8,0,0,0,0,0,yes,Panhellenic under-imported (IFC 13 vs PH 1),76,YELLOW,Re-import roster — Panhellenic under-imported (IFC 13 vs PH 1)
SMU,fb5f2ade-df5d-4e16-9557-33d1232ffaba,southern-methodist-university,no,ACCT 2301,Introduction to Financial Accounting,VERIFIED_INTERNAL,26,NEEDS_RESEARCH,NEEDS_RESEARCH,10,8,4,4,0,0,0,0,0,yes,,94,GREEN,Ready — verify chapter roster externally when convenient
South Carolina,5f5bd18d-b92f-4d56-aced-23bce4c983d5,university-of-south-carolina,yes,ACCT 225,Introduction to Financial Accounting,VERIFIED_INTERNAL,59,NEEDS_RESEARCH,NEEDS_RESEARCH,28,14,9,8,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Syracuse,4528bb03-6544-43ad-bb02-17a0f21130f9,syracuse-university,no,ACC 151,Introduction to Financial Accounting,VERIFIED_INTERNAL,44,NEEDS_RESEARCH,NEEDS_RESEARCH,18,13,7,6,0,0,0,0,0,yes,,100,GREEN,Ready — verify chapter roster externally when convenient
TCU,8a987f3f-ef08-4f2f-be5c-d18e032b6796,texas-christian-university,no,ACCT 20353,,NEEDS_RESEARCH,11,NEEDS_RESEARCH,NEEDS_RESEARCH,10,1,0,0,0,0,0,0,0,yes,Panhellenic under-imported (IFC 10 vs PH 1); roster very thin (11),32,RED,Re-import roster — Panhellenic under-imported (IFC 10 vs PH 1); roster very thin (11)
Tennessee,9c4775be-7d82-4a3e-840c-349c5e15d8e8,university-of-tennessee-knoxville,yes,ACCT 200,Foundations of Accounting,AMBIGUOUS,51,NEEDS_RESEARCH,NEEDS_RESEARCH,24,14,7,6,0,0,1,0,0,yes,,80,GREEN,Confirm intro_1 is the FIRST financial course (generic title)
Texas,faad6039-be72-4f5c-8ad5-ca7b95e2889f,university-of-texas-at-austin,yes,ACC 311,Fundamentals of Financial Accounting,VERIFIED_INTERNAL,65,NEEDS_RESEARCH,NEEDS_RESEARCH,25,15,9,16,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Texas A&M,92e4a5d9-eeb3-4065-ac8a-5a4390fbc584,texas-aandm-university,yes,ACCT 229,Introductory Accounting,AMBIGUOUS,56,NEEDS_RESEARCH,NEEDS_RESEARCH,22,15,8,11,0,0,1,0,1,yes,,77,YELLOW,Confirm intro_1 is the FIRST financial course (generic title)
Texas Tech,e7fff2aa-78fe-459f-9211-2584fae1f5ee,texas-tech-university,no,ACCT 2300,Financial Accounting,VERIFIED_INTERNAL,26,NEEDS_RESEARCH,NEEDS_RESEARCH,4,12,4,6,0,0,0,0,0,yes,,94,GREEN,Ready — verify chapter roster externally when convenient
UCF,9fc579bc-bed2-4e8b-9c89-0958f7edda42,university-of-central-florida,no,ACG 2021,,NEEDS_RESEARCH,40,NEEDS_RESEARCH,NEEDS_RESEARCH,10,11,8,11,0,0,0,0,0,yes,,78,GREEN,"Confirm intro_1 course title from catalog (code present, title blank)"
USC,bb80faac-ecaf-418a-abe3-46582214289e,university-of-southern-california,no,BUAD 280,Introduction to Financial Accounting,VERIFIED_INTERNAL,20,NEEDS_RESEARCH,NEEDS_RESEARCH,1,8,5,6,0,0,0,0,0,yes,IFC under-imported (PH 8 vs IFC 1),71,YELLOW,Re-import roster — IFC under-imported (PH 8 vs IFC 1)
Utah,9fbac3ba-bd9c-4fa9-bbf3-6f2580d78616,university-of-utah,no,ACCTG 2600,,NEEDS_RESEARCH,11,NEEDS_RESEARCH,NEEDS_RESEARCH,7,4,0,0,0,0,0,0,0,yes,roster very thin (11),32,RED,Re-import roster — roster very thin (11)
Vanderbilt,972451c3-bc5e-48d7-9f88-868a55378efa,vanderbilt-university,yes,BUS 1100,Introduction to Financial Accounting,VERIFIED_INTERNAL,40,NEEDS_RESEARCH,NEEDS_RESEARCH,15,12,9,4,0,0,1,0,1,yes,,95,YELLOW,Merge duplicate national-org rows
Virginia,a71aeefa-4c87-4ac3-ad74-e321c0b91615,university-of-virginia,no,COMM 2010,,NEEDS_RESEARCH,42,NEEDS_RESEARCH,NEEDS_RESEARCH,26,1,6,9,0,0,0,0,0,yes,Panhellenic under-imported (IFC 26 vs PH 1),60,RED,Re-import roster — Panhellenic under-imported (IFC 26 vs PH 1)
Virginia Tech,0bba23e3-06ae-438a-af5f-1a7f1f178f15,virginia-tech,no,ACIS 2115,,NEEDS_RESEARCH,22,NEEDS_RESEARCH,NEEDS_RESEARCH,21,1,0,0,0,0,0,0,0,yes,Panhellenic under-imported (IFC 21 vs PH 1),40,RED,Re-import roster — Panhellenic under-imported (IFC 21 vs PH 1)
Washington,79d3cbc6-a7c7-4192-87ee-200fee33ff1c,university-of-washington,no,ACCTG 215,,NEEDS_RESEARCH,28,NEEDS_RESEARCH,NEEDS_RESEARCH,19,9,0,0,0,0,0,0,0,yes,,62,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
West Virginia,3ad2e7cb-9d47-434f-899f-37cabe4fcba8,west-virginia-university,no,ACCT 201,,NEEDS_RESEARCH,30,NEEDS_RESEARCH,NEEDS_RESEARCH,16,8,6,0,0,0,0,0,0,yes,,69,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
Wisconsin,1757afcf-5163-49f0-9e94-131c666882bc,university-of-wisconsin-madison,no,AIS 100,,NEEDS_RESEARCH,21,NEEDS_RESEARCH,NEEDS_RESEARCH,6,4,8,3,0,0,0,0,0,yes,,68,YELLOW,"Confirm intro_1 course title from catalog (code present, title blank)"
