Campus,State,EDU Domain,Course Codes,Source Class,Syllabus Repository,Repository URL,Study Guides Found,Homework Docs Found,Course Schedules Found,Lecture/Review Docs,Useful Document Count,Highest Value Source,Textbook Found,Exact Edition Found,Exam Ranges Found,Mapping Evidence Strength,Automation Difficulty,Recommended Adapter,Manual Research Needed,Notes
University of Georgia,GA,uga.edu,ACCT 2101 ACCT 2101H,A,Yes,https://bulletin.uga.edu/Syllabus?Syllabus={ID}  (also per-section pages under terry.uga.edu/courses/ACCT/2101/),0,0,0,0,3,syllabus,Yes,Yes,No,Moderate,medium,UGA Bulletin syllabus adapter: enumerate ?Syllabus={id} with a headless/JS-capable fetcher (plain HTTP gets the SPA shell). Cross-reference Terry College course-listing pages (may need session/referrer to avoid 403). Textbook also available via UGA bookstore lookup.,No,"Second strong structured source. Real syllabi (Hawk, Wild 10e textbook, grading breakdown) confirmed; only obstacle is SPA/JS rendering + 403 on Terry pages."
University of Mississippi (Ole Miss),MS,olemiss.edu,ACCY 201 ACCY 202,B,Yes,https://www.outreach.olemiss.edu/istudy/syllabi/accy201.html,0,0,0,0,2,syllabus,No,No,No,Moderate,medium,"Structured URL-template adapter for iStudy syllabi + catalog, but MUST use a browser-grade fetch (headless) to defeat 403/404 friction. Fall back to targeted site: search discovery. Third-party (CourseHero/Scribd/Docsity/Studocu/Stuvia) carry ACCY 201 exam-1 study guides but are OFF-LIMITS.",Yes,"Heavy third-party study-doc footprint (Scribd, CourseHero, Docsity, Studocu, Stuvia) - noted only, not fetched. Official content exists but is access-hardened."
University of Florida,FL,ufl.edu (warrington.ufl.edu / asset.warrington.ufl.edu),ACG 2021 ACG 2071,A,Yes,https://asset.warrington.ufl.edu/syllabi/,0,0,0,0,2,syllabus,Yes,Yes,Yes,Strong,trivial,URL-template enumerator over asset.warrington.ufl.edu/syllabi/ (iterate termcode x course x section) + PDF text extractor. Highest-ROI campus; near-zero manual effort.,No,Best public source in the whole set. Also covers ACG 2071 (managerial) and upper-division ACG 3101 via same repo.
Park University,MO,park.edu (app.park.edu / catalog.park.edu),AC 201,A,Yes,https://app.park.edu/syllabus/syllabus.aspx?ID=<numeric_id>,0,0,0,0,2,syllabus,Yes,Yes,Yes,Strong,medium,"ID-crawl adapter for app.park.edu/syllabus/syllabus.aspx?ID= (need current-term ID discovery, e.g. via department listing or ID-range sampling) + Acalog catalog scraper. Note 8-week term cadence and distributed campus centers.",No,Only a 2005 sample surfaced via search; current syllabi almost certainly in the same app but need live ID enumeration. Large online/military-serving school -> standardized master content likely.
Hawaii Pacific University,HI,hpu.edu (catalog.hpu.edu),ACCT 2010 ACCT 2020,D,No,https://catalog.hpu.edu/courseinfo/a-d/acct,0,0,0,0,1,catalog,No,No,No,Weak,hard,Catalog scraper for course descriptions/codes only. Syllabus-level data requires manual outreach or instructor CV/pages (none found). Treat as low-yield.,Yes,"Genuine negative: no public syllabi. site: search returned mostly unrelated other-university results, confirming thin HPU public footprint."
Liberty University,VA,liberty.edu (online + catalog.liberty.edu),ACCT 211 ACCT 212,B,Yes,https://www.liberty.edu/online/wp-content/uploads/ACCT211_CourseGuide.pdf,0,0,0,0,3,syllabus,No,No,Yes,Strong,easy-medium,Course-Guide-PDF + online-course-page adapter (predictable /online/wp-content/uploads/{CODE}_CourseGuide.pdf and /online/courses/{code}/ patterns). Standardization means ONE canonical structure covers massive enrollment - high leverage - but textbook edition and exam-chapter granularity must be sourced from the live LMS (not public).,Yes,"Large-online-school pattern: value is in a single standardized master course, not per-instructor variation. Public docs give structure; deep detail is LMS-gated."
Miami Dade College,FL,mdc.edu,ACG 2021 ACG 2021L,B,Yes,https://www.mdc.edu/asa/documents/competencies/archive/ACG2021.pdf,0,0,0,0,1,catalog,No,No,No,Moderate,easy,URL-template competency-PDF adapter over /asa/documents/competencies/ (enumerate by course prefix). Great for building a canonical topic spine per course; pair with live section schedule for textbook/instructor (LMS-gated).,Yes,Community-college difference confirmed: standardized competency docs REPLACE public per-instructor syllabi. Also matches other FL state-course-number schools (ACG 2021 is a statewide common course number - competencies are portable across FL colleges).
University of Arizona,AZ,arizona.edu (catalog.arizona.edu / eller.arizona.edu),ACCT 200 ACCT 210,D,No,https://catalog.arizona.edu/courses/0058161,0,0,0,0,1,catalog,No,No,No,Weak,hard,"Catalog + Eller curriculum scraper for codes/descriptions only. Syllabus-level data needs manual outreach or an authenticated/LMS route. Filetype:pdf syllabus search returned other departments (e.g. PSIO 201), confirming accounting syllabi are not publicly posted.",Yes,"Honest negative: robust catalog, zero public syllabi. Curricular Affairs occasionally posts syllabi PDFs for OTHER programs, so a broad curricularaffairs.arizona.edu sweep is a low-probability fallback."
University of Texas at Arlington,TX,uta.edu,ACCT 2301,B,Yes,https://mentis.uta.edu/,0,0,0,0,2,syllabus,No,No,Yes,Strong,medium,"UTA Mentis / Academic Web Pages profile-crawler (discover opaque download IDs via faculty/dept profiles or Mentis search, then pull direct PDFs)",No,"Strong: PDFs are directly downloadable and public. Weak: no predictable URL by course/term; IDs are opaque, so a discovery crawl of the Mentis profile/search layer is required. Mentis (Academic Web Pages) is used by several other institutions, so the crawler is reusable across that vendor family."
Texas A&M University,TX,tamu.edu,ACCT 229,A,Yes,https://tamu.simplesyllabus.com/en-US/syllabus-library,0,0,0,0,1,syllabus,No,No,Yes,Strong,medium,"Simple Syllabus SaaS adapter (tenant.simplesyllabus.com) — browse /syllabus-library, headless-render or PDF-export each /doc/<id>?mode=view",No,"KEY REUSABLE FINDING: Simple Syllabus is a multi-tenant SaaS (each school = <tenant>.simplesyllabus.com) shared with Lone Star and many TAMU-system + national campuses (e.g., UFlorida). One adapter covers every Simple Syllabus tenant. Main friction is the JS SPA render and opaque doc ids."
Houston Community College,TX,hccs.edu,ACCT 2301,A,Yes,https://hccs.campusconcourse.com/search?search_performed=1&timeframe=current&template=non,0,0,0,0,1,syllabus,No,No,No,Moderate,medium,Concourse SaaS adapter (tenant.campusconcourse.com search + doc export); optional secondary learning.hccs.edu faculty-PDF crawler,No,REUSABLE FINDING: Concourse (campusconcourse.com) is another multi-tenant syllabus SaaS used by many institutions; adapter generalizes across tenants like the Simple Syllabus one.
Lone Star College,TX,lonestar.edu,ACCT 2301,A,Yes,https://lonestar.simplesyllabus.com/,0,0,0,0,1,syllabus,No,No,No,Moderate,low-medium,Simple Syllabus SaaS adapter (tenant=lonestar) — SAME adapter as Texas A&M; fallback to custom services.lonestar.edu/syllabus search,No,"Second confirmed Simple Syllabus tenant, validating the reusable SaaS adapter. Legacy custom search also public if a non-SPA path is preferred."
Tarrant County College,TX,tccd.edu,ACCT 2301,B,Yes,https://wajcustom.tccd.edu/TCC/WebAdvisor3/mainMenu.jsp (Course and Faculty Information / HB2504),0,0,0,0,1,syllabus,No,No,Yes,Strong,low,"Ellucian WebAdvisor 'DisplaySyll' parameterized-PDF adapter (enumerate section ids via WebAdvisor course search, then GET DisplaySyll?courseDesc&term&id&lev)",No,"Best automation target: public, predictable URL, direct PDF. WebAdvisor/Colleague is common across community colleges, so this adapter may generalize to other Ellucian WebAdvisor schools."
Louisiana State University,LA,lsu.edu,ACCT 2001,C,Yes,"https://syllabus.apps.lsu.edu/syllabus/ (via lsu.edu/syllabus, redirect) / myLSU portal",0,0,0,0,2,syllabus,Yes,No,Yes,Weak,high,No clean adapter for main campus (login-gated custom app). Optional narrow adapter: LSU Online/CE predictable-PDF fetch (cemoodle.online.lsu.edu/syllabus/COURSE_v_Syllabus.pdf) if 403 bot-block can be avoided on public pages; otherwise manual.,Yes,"CONTRAST vs TX: without an HB 2504 mandate, LSU's comprehensive syllabus DB sits behind myLSU login and is not publicly harvestable. Only a small, standardized online/CE PDF set is public-ish (and currently bot-blocked). Textbook: Kimmel/Weygandt/Kieso confirmed."
