campus_name,state,national_org,chapter_designation,letters
Michigan State University,MI,Kappa Kappa Gamma,Delta Gamma,ΚΚΓ
University of Minnesota,MN,Kappa Kappa Gamma,Chi,ΚΚΓ
University of Mississippi,MS,Kappa Kappa Gamma,Delta Rho,ΚΚΓ
Mississippi State University,MS,Kappa Kappa Gamma,,ΚΚΓ
University of Missouri,MO,Kappa Kappa Gamma,Theta,ΚΚΓ
Washington University in St. Louis,MO,Kappa Kappa Gamma,,ΚΚΓ
University of Nebraska-Lincoln,NE,Kappa Kappa Gamma,Sigma,ΚΚΓ
University of New Mexico,NM,Kappa Kappa Gamma,Gamma Beta,ΚΚΓ
Cornell University,NY,Kappa Kappa Gamma,Psi,ΚΚΓ
Syracuse University,NY,Kappa Kappa Gamma,Beta Tau,ΚΚΓ
Colgate University,NY,Kappa Kappa Gamma,,ΚΚΓ
University of North Carolina at Chapel Hill,NC,Kappa Kappa Gamma,Epsilon Gamma,ΚΚΓ
Duke University,NC,Kappa Kappa Gamma,Delta Beta,ΚΚΓ
Ohio State University,OH,Kappa Kappa Gamma,Beta Nu,ΚΚΓ
Miami University,OH,Kappa Kappa Gamma,Delta Lambda,ΚΚΓ
Ohio Wesleyan University,OH,Kappa Kappa Gamma,Rho,ΚΚΓ
University of Cincinnati,OH,Kappa Kappa Gamma,Beta Rho,ΚΚΓ
University of Oklahoma,OK,Kappa Kappa Gamma,Beta Theta,ΚΚΓ
Oklahoma State University,OK,Kappa Kappa Gamma,Delta Sigma,ΚΚΓ
University of Tulsa,OK,Kappa Kappa Gamma,Delta Pi,ΚΚΓ
University of Oregon,OR,Kappa Kappa Gamma,Beta Omega,ΚΚΓ
Oregon State University,OR,Kappa Kappa Gamma,Gamma Mu,ΚΚΓ
Pennsylvania State University,PA,Kappa Kappa Gamma,Delta Alpha,ΚΚΓ
University of Pennsylvania,PA,Kappa Kappa Gamma,Beta Alpha,ΚΚΓ
University of Pittsburgh,PA,Kappa Kappa Gamma,Gamma Epsilon,ΚΚΓ
Carnegie Mellon University,PA,Kappa Kappa Gamma,,ΚΚΓ
Bucknell University,PA,Kappa Kappa Gamma,,ΚΚΓ
Clemson University,SC,Kappa Kappa Gamma,,ΚΚΓ
University of South Carolina,SC,Kappa Kappa Gamma,Epsilon Kappa,ΚΚΓ
University of Tennessee Knoxville,TN,Kappa Kappa Gamma,Epsilon Lambda,ΚΚΓ
Vanderbilt University,TN,Kappa Kappa Gamma,Epsilon Nu,ΚΚΓ
University of Texas at Austin,TX,Kappa Kappa Gamma,Beta Xi,ΚΚΓ
Texas A&M University,TX,Kappa Kappa Gamma,Epsilon Rho,ΚΚΓ
Texas Christian University,TX,Kappa Kappa Gamma,Epsilon Alpha,ΚΚΓ
Texas Tech University,TX,Kappa Kappa Gamma,Delta Psi,ΚΚΓ
Southern Methodist University,TX,Kappa Kappa Gamma,Gamma Phi,ΚΚΓ
Baylor University,TX,Kappa Kappa Gamma,,ΚΚΓ
University of Utah,UT,Kappa Kappa Gamma,Delta Eta,ΚΚΓ
University of Virginia,VA,Kappa Kappa Gamma,Epsilon Sigma,ΚΚΓ
Virginia Tech,VA,Kappa Kappa Gamma,,ΚΚΓ
College of William & Mary,VA,Kappa Kappa Gamma,Gamma Kappa,ΚΚΓ
Washington and Lee University,VA,Kappa Kappa Gamma,,ΚΚΓ
University of Washington,WA,Kappa Kappa Gamma,Beta Pi,ΚΚΓ
Washington State University,WA,Kappa Kappa Gamma,Gamma Eta,ΚΚΓ
Whitman College,WA,Kappa Kappa Gamma,Gamma Gamma,ΚΚΓ
University of Wisconsin-Madison,WI,Kappa Kappa Gamma,Eta,ΚΚΓ
West Virginia University,WV,Kappa Kappa Gamma,Beta Upsilon,ΚΚΓ
University of Wyoming,WY,Kappa Kappa Gamma,Gamma Omicron,ΚΚΓ
Hillsdale College,MI,Kappa Kappa Gamma,Kappa,ΚΚΓ
Monmouth College,IL,Kappa Kappa Gamma,Alpha,ΚΚΓ
University of Alabama,AL,Alpha Tau Omega,Beta Delta,ΑΤΩ
Auburn University,AL,Alpha Tau Omega,Alpha Epsilon,ΑΤΩ
University of Arizona,AZ,Alpha Tau Omega,,ΑΤΩ
University of Arkansas,AR,Alpha Tau Omega,Alpha Upsilon,ΑΤΩ
University of California Berkeley,CA,Alpha Tau Omega,Gamma Iota,ΑΤΩ
University of Central Florida,FL,Alpha Tau Omega,,ΑΤΩ
Clemson University,SC,Alpha Tau Omega,,ΑΤΩ
University of Colorado Boulder,CO,Alpha Tau Omega,Gamma Lambda,ΑΤΩ
Colorado State University,CO,Alpha Tau Omega,,ΑΤΩ
University of Florida,FL,Alpha Tau Omega,Alpha Omega,ΑΤΩ
Florida State University,FL,Alpha Tau Omega,Epsilon Sigma,ΑΤΩ
University of Georgia,GA,Alpha Tau Omega,Alpha Beta,ΑΤΩ
Georgia Institute of Technology,GA,Alpha Tau Omega,Beta Iota,ΑΤΩ
University of Illinois Urbana-Champaign,IL,Alpha Tau Omega,Gamma Zeta,ΑΤΩ
Indiana University Bloomington,IN,Alpha Tau Omega,Delta Alpha,ΑΤΩ
Purdue University,IN,Alpha Tau Omega,,ΑΤΩ
Iowa State University,IA,Alpha Tau Omega,Gamma Upsilon,ΑΤΩ
University of Kansas,KS,Alpha Tau Omega,Gamma Mu,ΑΤΩ
Kansas State University,KS,Alpha Tau Omega,Delta Theta,ΑΤΩ
University of Kentucky,KY,Alpha Tau Omega,Mu Iota,ΑΤΩ
Louisiana State University,LA,Alpha Tau Omega,,ΑΤΩ
University of Michigan,MI,Alpha Tau Omega,Beta Lambda,ΑΤΩ
Michigan State University,MI,Alpha Tau Omega,,ΑΤΩ
University of Mississippi,MS,Alpha Tau Omega,Delta Psi,ΑΤΩ
Mississippi State University,MS,Alpha Tau Omega,,ΑΤΩ
University of Missouri,MO,Alpha Tau Omega,Gamma Rho,ΑΤΩ
University of Nebraska-Lincoln,NE,Alpha Tau Omega,Gamma Theta,ΑΤΩ
University of North Carolina at Chapel Hill,NC,Alpha Tau Omega,,ΑΤΩ
North Carolina State University,NC,Alpha Tau Omega,,ΑΤΩ
Ohio State University,OH,Alpha Tau Omega,,ΑΤΩ
Miami University,OH,Alpha Tau Omega,,ΑΤΩ
University of Oklahoma,OK,Alpha Tau Omega,Delta Kappa,ΑΤΩ
Oklahoma State University,OK,Alpha Tau Omega,Epsilon Omicron,ΑΤΩ
University of Oregon,OR,Alpha Tau Omega,Gamma Phi,ΑΤΩ
Oregon State University,OR,Alpha Tau Omega,,ΑΤΩ
Pennsylvania State University,PA,Alpha Tau Omega,Alpha Rho,ΑΤΩ
University of South Carolina,SC,Alpha Tau Omega,,ΑΤΩ
University of Tennessee Knoxville,TN,Alpha Tau Omega,,ΑΤΩ
Vanderbilt University,TN,Alpha Tau Omega,Beta Pi,ΑΤΩ
University of Texas at Austin,TX,Alpha Tau Omega,Gamma Eta,ΑΤΩ
Texas Tech University,TX,Alpha Tau Omega,,ΑΤΩ
Texas Christian University,TX,Alpha Tau Omega,,ΑΤΩ
University of Virginia,VA,Alpha Tau Omega,Delta,ΑΤΩ
Virginia Tech,VA,Alpha Tau Omega,,ΑΤΩ
Virginia Military Institute,VA,Alpha Tau Omega,Alpha,ΑΤΩ
University of Washington,WA,Alpha Tau Omega,Gamma Pi,ΑΤΩ
Washington State University,WA,Alpha Tau Omega,Gamma Chi,ΑΤΩ
University of Wisconsin-Madison,WI,Alpha Tau Omega,Gamma Tau,ΑΤΩ
West Virginia University,WV,Alpha Tau Omega,Beta Rho,ΑΤΩ
Wofford College,SC,Alpha Tau Omega,,ΑΤΩ
