org_name,slug,greek_letters,abbrev,type,council
Kappa Delta,kappa-delta,ΚΔ,KD,sorority,Panhellenic
Kappa Kappa Gamma,kappa-kappa-gamma,ΚΚΓ,Kappa,sorority,Panhellenic
Phi Mu,phi-mu,ΦΜ,Phi Mu,sorority,Panhellenic
Phi Sigma Sigma,phi-sigma-sigma,ΦΣΣ,Phi Sig,sorority,Panhellenic
Pi Beta Phi,pi-beta-phi,ΠΒΦ,Pi Phi,sorority,Panhellenic
Sigma Delta Tau,sigma-delta-tau,ΣΔΤ,SDT,sorority,Panhellenic
Sigma Kappa,sigma-kappa,ΣΚ,Sig Kap,sorority,Panhellenic
Sigma Sigma Sigma,sigma-sigma-sigma,ΣΣΣ,Tri Sigma,sorority,Panhellenic
Theta Phi Alpha,theta-phi-alpha,ΘΦΑ,Theta Phi,sorority,Panhellenic
Zeta Tau Alpha,zeta-tau-alpha,ΖΤΑ,ZTA,sorority,Panhellenic
Alpha Phi Alpha,alpha-phi-alpha,ΑΦΑ,Alphas,fraternity,NPHC
Kappa Alpha Psi,kappa-alpha-psi,ΚΑΨ,Kappas,fraternity,NPHC
Omega Psi Phi,omega-psi-phi,ΩΨΦ,Ques,fraternity,NPHC
Phi Beta Sigma,phi-beta-sigma,ΦΒΣ,Sigmas,fraternity,NPHC
Iota Phi Theta,iota-phi-theta,ΙΦΘ,Iotas,fraternity,NPHC
Alpha Kappa Alpha,alpha-kappa-alpha,ΑΚΑ,AKA,sorority,NPHC
Delta Sigma Theta,delta-sigma-theta,ΔΣΘ,Deltas,sorority,NPHC
Zeta Phi Beta,zeta-phi-beta,ΖΦΒ,Zetas,sorority,NPHC
Sigma Gamma Rho,sigma-gamma-rho,ΣΓΡ,SGRho,sorority,NPHC
Lambda Theta Alpha,lambda-theta-alpha,ΛΘΑ,LTA,sorority,MGC
Lambda Theta Phi,lambda-theta-phi,ΛΘΦ,LTP,fraternity,MGC
Sigma Lambda Beta,sigma-lambda-beta,ΣΛΒ,SLB,fraternity,MGC
Sigma Lambda Gamma,sigma-lambda-gamma,ΣΛΓ,SLG,sorority,MGC
Lambda Upsilon Lambda,lambda-upsilon-lambda,ΛΥΛ,LUL,fraternity,MGC
Kappa Delta Chi,kappa-delta-chi,ΚΔΧ,KDChi,sorority,MGC
Delta Lambda Phi,delta-lambda-phi,ΔΛΦ,DLP,fraternity,MGC
Alpha Kappa Psi,alpha-kappa-psi,ΑΚΨ,AKPsi,professional,Professional
Beta Alpha Psi,beta-alpha-psi,ΒΑΨ,BAP,professional,Professional
Delta Sigma Pi,delta-sigma-pi,ΔΣΠ,DSP,professional,Professional
Phi Chi Theta,phi-chi-theta,ΦΧΘ,PCT,professional,Professional
